name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Heathrow Airport,01/01/2019,10.6,5.4,8.5,10.6,3.7,6.9,4.6,77.03,0.2,,4.17,,,,,18.4,222.9,1035.7,81.6,28.6,66.3,1.7,1,,2019-01-01T08:07:23,2019-01-01T16:03:18,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,02/01/2019,6.3,3.8,5.1,4.7,1.9,3.4,0.4,71.83,0,,0,,,,,13,246.3,1043.1,92.4,21,52.4,1.3,1,,2019-01-02T08:07:17,2019-01-02T16:04:22,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,03/01/2019,5.3,3.8,4.7,4.6,2.5,3.7,-1.2,65.73,0,,0,,,,,9.4,169.6,1043.2,99.4,32.1,52.2,1.1,1,,2019-01-03T08:07:07,2019-01-03T16:05:28,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,04/01/2019,4.3,1.6,3,3.5,-0.7,1.4,-1.3,74,0,,0,,,,,11.2,204.9,1042.3,63.9,13.7,75.8,2.2,1,,2019-01-04T08:06:54,2019-01-04T16:06:37,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,05/01/2019,5.3,2.8,4.4,3.8,0.6,2.2,0.8,77.73,0,,0,,,,,13,292.9,1039.1,99.9,16.4,26,0.6,1,,2019-01-05T08:06:37,2019-01-05T16:07:49,1,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,06/01/2019,9.8,5,7.3,8.9,2.6,5.8,4.2,80.9,0,,0,,,,,13,286.3,1036.8,97,16.1,69.7,1.8,1,,2019-01-06T08:06:17,2019-01-06T16:09:03,0,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,07/01/2019,11.1,6.6,9.3,11.1,5.2,8.1,6.6,83.65,0,,0,,,,46.4,29.5,256.7,1032.3,93.2,24.6,36.1,1,1,,2019-01-07T08:05:54,2019-01-07T16:10:20,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,08/01/2019,9.1,3.3,6.9,6.7,1.3,4.1,2,71.22,0,,0,,,,48.2,22.3,309.2,1028.1,11.8,16.5,85.6,2.5,2,,2019-01-08T08:05:27,2019-01-08T16:11:38,0.03,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,09/01/2019,5.8,2.2,3.9,3.1,-0.8,0.7,0.2,76.99,0,,0,,,,,20.5,339.6,1029.7,38,21.4,63.4,1.6,1,,2019-01-09T08:04:58,2019-01-09T16:12:59,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,10/01/2019,6.1,0.6,3.1,4.5,-1.6,1,1.2,87.14,0,,0,,,,,11.2,297.5,1030.6,80.3,9.3,51.1,1.5,1,,2019-01-10T08:04:25,2019-01-10T16:14:22,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
